doc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
cited_84_citing_7.txt,0.0005787428235635161,0.0005787428817711769,0.0005787427071481942,0.0005787428235635161,0.0005787428235635161,0.0005787428817711769,0.0005787428235635161,0.9913188815116882,0.0005787428235635161,0.0005787428235635161,0.0005787428235635161,0.0005787428235635161,0.0005787428235635161,0.0005787428817711769,0.0005787428817711769,0.0005787428235635161
cited_84_citing_4.txt,0.0006251604645512997,0.0006251606391742827,0.0006251605809666215,0.0006251605227589607,0.0006251605227589607,0.0006251606391742827,0.0006251605809666215,0.0006251605809666215,0.2386218160390854,0.0006251605227589607,0.000625160348135978,0.0006251604645512997,0.0006251606391742827,0.0006251605227589607,0.7526259422302246,0.000625160348135978
cited_84_citing_2.txt,0.0006251189042814076,0.0006251187878660858,0.9906232357025146,0.0006251189042814076,0.0006251186714507638,0.0006251188460737468,0.0006251188460737468,0.0006251187878660858,0.0006251202430576086,0.0006251190789043902,0.0006251187878660858,0.0006251186714507638,0.0006251186714507638,0.0006251188460737468,0.0006251187878660858,0.0006251187878660858
cited_81_citing_36.txt,0.2915183901786804,0.00039088027551770216,0.0003908801299985498,0.00039088007179088885,0.0003908800426870585,0.062255054712295525,0.0003908802173100412,0.0003908800426870585,0.10532686114311217,0.0003908800426870585,0.0003908800426870585,0.3051207363605499,0.14631932973861694,0.0003908800426870585,0.0003908801299985498,0.08555082231760025
cited_81_citing_35.txt,0.0006251070881262423,0.0006251069717109202,0.0006251067388802768,0.0006251067970879376,0.0006251067970879376,0.0006251068552955985,0.0006251068552955985,0.0006251067970879376,0.0006251069717109202,0.0006251069717109202,0.0006251067970879376,0.0006251069717109202,0.9906234145164491,0.0006251067388802768,0.0006251067388802768,0.0006251068552955985
cited_81_citing_34.txt,0.0005342919030226767,0.0005342914955690503,0.0005342916119843721,0.000534291670192033,0.0005342914955690503,0.0005342917283996941,0.0005342916119843721,0.0005342914373613894,0.0005342917866073549,0.0005342917283996941,0.0005342916119843721,0.000534291670192033,0.9919856190681458,0.000534291670192033,0.0005342916119843721,0.0005342914955690503
cited_81_citing_33.txt,0.001059613423421979,0.0010596124920994043,0.001059612026438117,0.0010596121428534386,0.0010596121428534386,0.0010596123756840825,0.0010596133070066571,0.0010596121428534386,0.9841058254241944,0.0010596124920994043,0.0010596121428534386,0.0010596121428534386,0.0010596124920994043,0.0010596121428534386,0.0010596126085147262,0.0010596123756840825
cited_81_citing_32.txt,0.0010083934757858515,0.001008392428047955,0.0010083927772939203,0.001008392660878599,0.0010083925444632769,0.0010083927772939203,0.0010083933593705297,0.0010083928937092423,0.0010083935922011733,0.15144839882850647,0.001008392660878599,0.0010083927772939203,0.5346899628639221,0.0010083928937092423,0.0010083928937092423,0.30075258016586304
cited_81_citing_31.txt,0.0008336010505445303,0.0008336010505445303,0.0008336008759215474,0.0008336012833751737,0.0008336008759215474,0.0008336009341292082,0.0008336008759215474,0.0008336006430909038,0.058469582349061966,0.0008336012833751737,0.000833601166959852,0.0008336007595062256,0.0008336008759215474,0.0008336014579981565,0.0008336012833751737,0.9298600554466248
cited_81_citing_30.txt,0.00030944080208428204,0.00030944080208428204,0.00030944071477279067,0.00030944074387662113,0.00030944074387662113,0.00030944074387662113,0.00030944071477279067,0.00030944071477279067,0.00030944080208428204,0.0003094408311881125,0.00030944074387662113,0.9953584074974059,0.00030944074387662113,0.00030944074387662113,0.00030944074387662113,0.00030944074387662113
cited_81_citing_28.txt,0.31757885217666626,0.0012024026364088056,0.0012024035677313805,0.001202402519993484,0.001202402519993484,0.0012024027528241275,0.001202403218485415,0.0012024028692394495,0.1586170643568039,0.0012024026364088056,0.001202402519993484,0.0012024026364088056,0.001202402519993484,0.001202402519993484,0.0012024035677313805,0.508172869682312
cited_81_citing_27.txt,0.0005483525455929339,0.0005483519053086637,0.0005483519053086637,0.0005483520217239857,0.0005483518471010028,0.0005483519053086637,0.0005483521381393075,0.9917747378349304,0.0005483521963469684,0.0005483521963469684,0.0005483520217239857,0.0005483521381393075,0.0005483522545546293,0.0005483519053086637,0.0005483520217239857,0.0005483523127622902
cited_81_citing_26.txt,0.0006512387190014124,0.0006512382533401251,0.0006512383697554469,0.0006512385443784298,0.0006512381369248033,0.0006512383697554469,0.000651238311547786,0.0006512385443784298,0.0006512384861707687,0.0006512383697554469,0.0006512380787171422,0.0006512383697554469,0.0006512385443784298,0.0006512380787171422,0.0006512382533401251,0.9902314543724059
cited_81_citing_25.txt,0.0010419083992019298,0.0010419077007099986,0.0010419073514640331,0.0010419079335406425,0.0010419074678793552,0.001041908049955964,0.0010419077007099986,0.0010419079335406425,0.9843714237213136,0.0010419079335406425,0.0010419077007099986,0.0010419073514640331,0.0010419079335406425,0.0010419074678793552,0.0010419078171253202,0.0010419078171253202
cited_81_citing_24.txt,0.30680814385414124,0.0011583153391256928,0.0011583167361095548,0.0011583156883716585,0.001158315222710371,0.4827585816383362,0.0011583154555410149,0.0011583155719563365,0.0011583163868635893,0.0011583156883716585,0.0011583154555410149,0.0011583153391256928,0.001158315921202302,0.0011583161540329454,0.0011583154555410149,0.19537518918514246
cited_81_citing_23.txt,0.0003592456050682813,0.0003592441498767585,0.000359244120772928,0.0003592441498767585,0.00035924409166909754,0.0003592443244997412,0.0003592441498767585,0.0003592442371882498,0.00035924438270740216,0.0003592441498767585,0.0003592442371882498,0.000359244120772928,0.9946113228797911,0.0003592441498767585,0.0003592442080844193,0.0003592442371882498
